"","SRR2166176","SRR2167642"
"AFF4",23.4786479718667,21.7803346913061
"ZGLP1",1.88051354151146,2.68744549438022
"CHDH",6.06212581923295,5.9185735005434
"MIR6801",0,0.388255779214257
"ZFP90",6.47845627337242,7.14445980265882
"KDM6B",5.84988201793812,5.19373682277369
"DCLRE1A",3.15031441235574,3.99405472352128
"SPINK2",0.11611115562873,0
"NSUN5P2",16.447517808249,16.5148876148462
"P2RY14",0.201671809444904,0.555695394122289
"SC5D",8.14889201321634,8.98233860751346
"DSN1",3.95990334778786,2.63160589306779
"LINC01523",0,0
"LOC105370941",0.353020592630311,0.684512650455855
"KCP",3.42965838938612,4.60138805246043
"SKP1",43.7578889816782,40.8434378454385
"ADAMTS9",1.952783797674,0.172315767179361
"PRPF3",22.4275262970604,19.0666610652287
"PARP14",0.612105117079773,1.05211951985264
"CCDC9",1.51720394297532,3.16895119119168
"LOC440934",1.64120653324225,0.57353561152336
"HOXB1",0,0
"TM7SF2",2.95461098327396,4.05002727437408
"CDV3",17.9946146051713,20.1016384631979
"NELFA",2.88975592089009,3.24551739147055
"ARHGEF19",0.327116181393909,0.1801838569491
"P2RX3",0.0228609569358275,0
"LINC00583",0,0
"UBR5",15.3746373500151,11.2515545646195
"SBDSP1",20.4018264931373,21.0175168423563
"COASY",8.13676568581572,9.31120556222764
"AP1S3",1.51349247086426,1.53217838547998
"AP2M1",63.3144008130878,66.2264274901904
"SPDYE3",1.12833847290238,1.83394699099681
"DGUOK",14.5597271044844,16.8012018052696
"FAM160B1",7.83033011501628,7.84568990140007
"TMEM88B",0.12146045006149,0.187025649743453
"RAP2B",0.590358001196969,0.554604621033035
"GSDMC",0.0101838005164031,0.0209081162630718
"FAIM",3.45607478065438,3.70597387684179
"ABCC6",0.0276696514096952,0.0568078967867401
"PCOTH",0.124496961313027,0.178921204921237
"CRABP2",4.59054250077854,2.78838241435694
"C1orf61",14.7576518182069,24.8909663905602
"CARD16",0.336318805442775,0.617805108394251
"LINC00207",0,0
"CYMP-AS1",0.0127091751234056,0.0391393533278516
"SULT1C3",0,0
"LTV1",9.39894763697268,14.3812294960283
"AICDA",0.0479603061237987,0.0196932305347842
"SGIP1",7.85696199486244,7.149138915191
"PALM2-AKAP2",3.3000876835188,3.26801274309736
"ABCC3",0.0404025919800963,0.0957110668543572
"DAZAP2",25.8334996324293,27.193418516982
"TNFRSF14",1.22034648040556,1.32671226307802
"ZNF7",3.34313518490927,4.50431005396121
"SLC22A5",4.38562645701381,4.59075722176032
"CDK3",3.41382682602112,3.45338764906214
"KLKP1",0.031254467275237,0
"PRKACG",0.0188512748991335,0
"NAA40",18.8731871590942,16.2094051570924
"SCN5A",0.0507085556710744,0.0581782893681342
"PIP4K2B",39.6977890136914,46.6657499611548
"BLMH",7.62862597349341,6.92173649064185
"LOC101928495",0,0
"SGPP1",13.4240201763612,14.9008394781713
"MIR215",0,0
"S1PR5",1.18196687433323,1.19147202951318
"SELENOV",0.0345225542635778,0.0177193567636778
"ABL2",4.51896641652175,4.99982185801304
"IKZF3",0.0417975409684025,0.0214533818850404
"U2SURP",15.5711903690811,22.6717209473861
"MIR661",0,0
"INSC",0.0347939105853002,0.062505224426633
"CPT2",0.714678308341145,1.42327020480236
"NT5C1B",0.0149883474868957,0.0153861081303869
"CHRNA3",2.3702758300772,2.33662350063531
"UBQLN3",0.0244912055042021,0.0125705764581665
"ZNF71",1.24456605733996,1.46152815689309
"MCM3AP",11.5973707807751,13.6681382001187
"HIST2H2BF",1.33690103637769,2.82153589738121
"LTN1",6.78982526277719,8.41792419728578
"CEBPZOS",8.26163743272657,13.3970557379448
"LINC01056",0,0
"LINC02551",0.106001847326391,0.122416788922988
"LOC101929217",0,0
"CXorf56",12.9245217511943,13.909489020455
"LINC01873",0,0
"ZBTB18",182.901526574162,212.44390072149
"MIR1470",0,0
"CCNJ",2.3986974802645,4.45885741427907
"ZNF629",5.31121585571989,5.53782733812404
"ENPP2",7.15788146719929,9.30786830008702
"LINC00620",0,0
"MIR548AA1",0.308033718712645,0
"CNGA1",0.0333753372969859,0.0513915775893767
"MAB21L3",0.100943482145698,0.14130316288971
"SLC22A15",5.533198280579,6.74069845556847
"ZNF394",3.26498165018359,4.57676577169628
"CACNB2",10.6408049907931,10.8715775730022
"NDUFA8",35.0125577455689,34.6697690240068
"COPS7B",5.59066473156424,5.85532726575646
"RCAN2",37.8481494888268,34.3244466706967
"LAGE3",3.02256057813715,4.5895187894895
"LOC101928075",0.0406382464673602,0.0625750558815226
"PEPD",3.30634220085596,4.44182543850653
"JDP2",2.62611713743214,2.98113186433093
"TNP2",0.0167297148460955,0.0171736878823776
